Date,XLU,XLB,XLE,XLF,XLI,XLK,XLP,XLV,XLY,XLRE,XLC
2024-02-08,0,0,0,0,0,0,0,0,0,0,0
2024-02-09,0,0,0,0,0,0,0,0,0,0,0
2024-02-12,0,0,0,0,0,0,0,0,0,0,0
2024-02-13,0,0,0,0,0,0,0,0,0,0,0
2024-02-14,0,0,0,0,0,0,0,0,0,0,0
2024-02-15,0,0,0,0,0,0,0,0,0,0,0
2024-02-16,0,0,0,0,0,0,0,0,0,0,0
2024-02-20,0,0,0,0,0,0,0,0,0,0,0
2024-02-21,0,0,0,0,0,0,0,0,0,0,0
2024-02-22,0,1,1,1,1,0,1,1,1,0,1
2024-02-23,0,1,1,1,1,0,1,1,1,0,1
2024-02-26,0,1,1,1,1,1,1,1,1,0,1
2024-02-27,0,1,1,1,1,1,1,1,1,0,1
2024-02-28,0,1,1,1,1,1,1,1,1,0,1
2024-02-29,0,1,1,1,1,1,1,1,1,0,1
2024-03-01,0,1,1,1,1,1,1,1,1,0,1
2024-03-04,0,1,1,1,1,1,1,1,1,0,1
2024-03-05,0,1,1,1,1,1,1,1,0,0,0
2024-03-06,0,1,1,1,1,1,1,1,0,0,0
2024-03-07,0,1,1,1,1,1,1,1,0,0,0
2024-03-08,0,1,1,1,1,1,1,1,0,1,0
2024-03-11,0,1,1,1,1,1,1,1,0,1,1
2024-03-12,0,1,1,1,1,1,1,1,0,1,1
2024-03-13,1,1,1,1,1,1,1,1,0,1,1
2024-03-14,1,1,1,1,1,1,1,1,0,0,1
2024-03-15,1,1,1,1,1,0,1,0,0,0,1
2024-03-18,1,1,1,1,1,0,1,0,0,0,1
2024-03-19,1,1,1,1,1,0,1,0,0,0,1
2024-03-20,1,1,1,1,1,0,1,0,0,0,1
2024-03-21,1,1,1,1,1,1,1,0,1,0,1
2024-03-22,1,1,1,1,1,1,1,0,1,0,1
2024-03-25,1,1,1,1,1,1,1,0,1,0,1
2024-03-26,1,1,1,1,1,1,1,0,1,0,1
2024-03-27,1,1,1,1,1,1,1,0,1,0,1
2024-03-28,1,1,1,1,1,1,1,1,1,0,1
2024-04-01,1,1,1,1,1,1,1,1,1,0,1
2024-04-02,1,1,1,1,1,0,0,0,0,0,1
2024-04-03,1,1,1,1,1,0,0,0,0,0,1
2024-04-04,1,1,1,0,1,0,0,0,0,0,1
2024-04-05,1,1,1,0,1,0,0,0,0,0,1
2024-04-08,1,1,1,0,1,0,0,0,0,0,1
2024-04-09,1,1,1,1,1,0,0,0,0,0,1
2024-04-10,1,1,1,0,1,0,0,0,0,0,1
2024-04-11,1,1,1,0,1,0,0,0,0,0,1
2024-04-12,0,0,1,0,0,0,0,0,0,0,0
2024-04-15,0,0,1,0,0,0,0,0,0,0,0
2024-04-16,0,0,0,0,0,0,0,0,0,0,0
2024-04-17,0,0,0,0,0,0,0,0,0,0,0
2024-04-18,0,0,0,0,0,0,0,0,0,0,0
2024-04-19,0,0,0,0,0,0,0,0,0,0,0
2024-04-22,1,0,0,0,0,0,0,0,0,0,0
2024-04-23,1,0,1,0,0,0,1,0,0,0,0
2024-04-24,1,0,1,1,0,0,1,0,0,0,0
2024-04-25,1,0,1,1,0,0,1,0,0,0,0
2024-04-26,1,0,1,1,0,0,1,0,0,0,0
2024-04-29,1,0,1,0,0,0,1,0,0,0,0
2024-04-30,1,0,0,0,0,0,1,0,0,0,0
2024-05-01,1,0,0,0,0,0,1,0,0,0,0
2024-05-02,1,0,0,0,0,0,1,0,0,0,0
2024-05-03,1,0,0,0,0,0,1,0,0,0,0
2024-05-06,1,0,0,0,0,0,1,0,0,0,0
2024-05-07,1,0,0,0,1,0,1,0,0,0,1
2024-05-08,1,1,0,1,1,0,1,0,0,0,1
2024-05-09,1,1,0,1,1,0,1,0,0,0,1
2024-05-10,1,1,0,1,1,0,1,0,0,0,1
2024-05-13,1,1,0,1,1,0,1,0,0,0,1
2024-05-14,1,1,0,1,1,1,1,0,0,0,1
2024-05-15,1,1,0,1,1,1,1,1,0,0,1
2024-05-16,1,1,0,1,1,1,1,1,0,0,1
2024-05-17,1,1,0,1,1,1,1,1,0,0,1
2024-05-20,1,1,0,1,1,1,1,1,0,0,1
2024-05-21,1,1,0,1,1,1,1,1,0,0,1
2024-05-22,1,1,0,1,1,1,1,1,0,0,1
2024-05-23,1,0,0,0,0,1,0,1,0,0,1
2024-05-24,1,0,0,0,0,1,0,1,0,0,1
2024-05-28,1,0,0,0,0,1,0,0,0,0,1
2024-05-29,1,0,0,0,0,1,0,0,0,0,1
2024-05-30,1,0,0,0,0,0,0,0,0,0,1
2024-05-31,1,0,0,0,0,0,0,0,0,0,1
2024-06-03,1,0,0,0,0,0,0,0,0,0,1
2024-06-04,1,0,0,0,0,1,1,1,0,0,1
2024-06-05,1,0,0,0,0,1,1,1,0,0,1
2024-06-06,0,0,0,0,0,1,1,1,0,0,1
2024-06-07,0,0,0,0,0,1,1,1,0,0,1
